nom_de_reference,nom_vernaculaire,ordre,famille,reference
"Accipiter bicolor (Vieillot, 1817)",Épervier bicolore,Accipitriformes,Accipitridae,441604
"Acrocephalus arundinaceus (Linnaeus, 1758)",Rousserolle turdoïde,Passeriformes (Passereaux),Sylviidae,4198
